tj,pers
ҳазор нафар аз,هزار نفر از
даргирии доимӣ,درگیری دائمی
ба сар бибаранд,به سر ببرند
кумакҳои ғайримаргбори,کمک‌های غیر مرگبار
даргирии лафзӣ,درگیری لفظی
Дар ин гузориш ба бистарӣ шудани беш аз,در این گزارش به بستری شدن بیش از
Даргирӣ дар устонҳои Ҳумс ва Адлаб гузориш шудааст,درگیری در استان‌های حمص و ادلب گزارش‌شده‌است
ин кишварро ба ҳолати таълиқ даровард,این کشور را به حالت تعلیق در آورد
Иҷлоси Женев,اجلاس ژنو
қарор аст,قرار است
Ин тасмим вокунишҳои тунди фаластиниҳоро барангехт,این تصمیم ، واکنش تند فلسطینی‌ها را برانگیخت
"Ӯ дар идома афзуд, ки аз Либӣ то Покистон ҷаҳони ислом дар ранҷ аст",او در ادامه افزود که از لیبی تا پاکستان ، جهان اسلام در رنج است
Ба гуфтаи раиси ҷумҳурии Афғонистон,به گفته رئیس‌جمهوری افغانستان
Раиси ҷумҳурӣ ҳамчунин гуфтааст ки,رئیس جمهوری همچنین گفته است که
яке аз муваффақтарин пружаҳои ҳамкории байни ду Куре,یکی از موفقترین پروژه‌های همکاری بین دو کره
хонд ва хостори бозгушоии он шуд,خواند و خواستار بازگشایی آن شد
ин ҳамкорӣ набояд таҳти таъсири мулоҳизоти сиёсӣ қарор гирад,این همکاری نباید تحت تاثیر ملاحظات سیاسی قرار گیرد
Ин муҷтамаъ ниҳоде комилан иқтисодӣ аст,این مجتمع نهادی کاملا اقتصادی است
Раиси ҷумҳури Эрон дар суханронии худ гуфт ки,رئیس جمهور ایران در سخنرانی خود گفت که
Таҷовуз,تجاوز
рафтории Қаззофӣ,رفتاری قذافی
барои кунтрули мардум набуд,برای کنترل مردم نبود
Таҷовуз ҷанбаи ҷадиде аз саркӯби ӯст,تجاوز جنبه جدیدی از سرکوب اوست
декабр дар ин бемористон даргузашт,دسامبر در این بیمارستان درگذشت
Ин шикоятнома бо такя бар қонуни соли,این شکایتنامه با تکیه بر قانون سال
исломгароҳои бунёдгаро,اسلامگراهای بنیادگرا
Даргирӣ байни онон  ва нерӯҳои давлатии Укройн ҳамчунон идома дорад,درگیری بین آنان و نیروهای دولتی اوکراین همچنان ادامه دارد
нафар низ аз сӯйи маъмурони амниятии баҳрайн боздошт шуданд,نفر نیز از سوی ماموران امنیتی بحرین باتزداشت شدند
милёрд дулор гоз масраф карда ва бидеҳиаш то даҳ рӯзи оянда,میلیارد دلار گاز مصرف کرده و بدهی‌اش تا ده روز آینده
Қарор буд ин парвоз соъати,قرار‌بود این پرواز ساعت
инқилоби озодӣ ва каромат,انقلاب آزادی و کرامت
Ман аз имрӯз яке аз сарбозони ин инқилоби муборак ҳастам,من از امروز یکی از سربازان این انقلاب مبارک هستم
"Пулиси Конодо гуфтааст, ки ду нафари муртабит бо",پلیس کانادا گفته است که دو نفر مرتبط با
Филми ҷанҷолбарангези,فیلم جنجال برانگیز
Нерӯҳои эътилофи байналмиллалӣ мегӯянд дар як моҳи гузашта беш аз,نیروهای ائتلاف بین‌المللی می‌گویند در یک ماه گذشته بیش از
нафар аз раҳбарони пайкорҷӯёни Алқоъидаро куштаанд,نفر از رهبران و پیکارجویان القاعده را کشته‌اند
"баргузор шуд, ба пирӯзӣ расидааст",برگزار شد ، به پیروزی رسیده است
Раиси ҷумҳури Русия дар идома меафзояд,رئیس جمهور روسیه در ادامه می‌افزاید
Нишасти мо дар соъати,نشست ما در ساعت
Исроил дар ҷанги июни соли,اسرائیل در جنگ ژوئن سال
"Бритониё, Фаронса ва Олмон",بریتانیا ، فرانسه و آلمان
то кунун беш аз,تاکنون بیش از
Куреи Шимолӣ севумин озмоиши ҳастаии худро,کره شمالی سومین آزمایش هسته‌ای خود را
ҳазор сарбоз аз,هزار سرباز از
"кишвар мешавад, ки тақрибан ду севумро омрикоиҳо ташкил медиҳанд",کشور می‌شود که تقریبا دو سوم آن را آمریکایی‌ها تشکیل می‌دهند
анҷом мешавад,انجام می‌شود
Оқои Мурсӣ баъдан дар нутқе телевизиюнӣ ин,آقای مرسی بعدا در نطقی تلویزیونی این
рӯзи таърихӣ,روز تاریخی
ноябр нишасте изтирорӣ барои баррасии ин гузоришҳо баргузор мекунад,نوامبر ، نشستی اضطراری برای بررسی این گزارش‌ها برگزار می‌کند
